REPORT_SCHOOL_YEAR,AGGREGATION_INDEX,AGGREGATION_TYPE,SUBGROUP_CODE,SUBGROUP_NAME,ENROLL_CNT,GRAD_CNT,GRAD_PCT,DROPOUT_CNT,DROPOUT_PCT
2015-16,0,Statewide,1,All Students,211361,177633,84,21951,10
2015-16,0,Statewide,2,Female,103124,89271,87,9425,9
2015-16,0,Statewide,3,Male,108237,88362,82,12526,12
2015-16,0,Statewide,4,American Indian or Alaska Native,1132,792,70,251,22
2015-16,0,Statewide,5,Black or African American,38473,28892,75,6016,16
2015-16,0,Statewide,6,Hispanic or Latino,45592,33854,74,8054,18
2015-16,0,Statewide,7,Asian or Pacific Islander,18883,16818,89,1430,8
2015-16,0,Statewide,8,White,105933,96170,91,6024,6
2015-16,0,Statewide,9,Multiracial,1348,1107,82,176,13
2015-16,0,Statewide,10,General Education Students,180305,158711,88,16186,9
2015-16,0,Statewide,11,Students with Disabilities,31056,18922,61,5765,19
2015-16,0,Statewide,12,Not Limited English Proficient,200677,172473,86,18037,9
2015-16,0,Statewide,13,Limited English Proficient,10684,5160,48,3914,37
2015-16,0,Statewide,14,Formerly Limited English Proficient,3329,2887,87,300,9
2015-16,0,Statewide,15,Economically Disadvantaged,90340,71606,79,12806,14
2015-16,0,Statewide,16,Not Economically Disadvantaged,121021,106027,88,9145,8
2015-16,0,Statewide,17,Migrant,82,57,70,24,29
2015-16,0,Statewide,18,Not Migrant,211279,177576,84,21927,10
